"Golf Course","Likes","Tips","Rating"
"Big Island Country Club","4","2","N/A"
"Four Seasons Resort Hualalai at Historic Ka`upulehu","114","37","9.3"
"Hapuna Golf Course","7","1","8.0"
"Hilo Municipal Golf Course","2","0","N/A"
"Hokulia GCM","0","0","N/A"
"Hualalai Golf Course","5","4","N/A"
"Kona Country Club","1","3","N/A"
"Kona Country Club: The Ocean Course","1","0","N/A"
"Kuki'o Golf Club","2","0","N/A"
"Makalei Golf Club","5","5","6.1"
"Mauna Kea Golf Course","9","6","7.3"
"Mauna Lani North course","2","0","N/A"
"Mauna Lani South Course","13","2","8.6"
"mauni lani golf Course","0","0","N/A"
"Nanea","0","0","N/A"
"Nanea Country Club (pvt)","4","0","N/A"
"Sea Mountain Golf","0","1","N/A"
"Seaside","0","0","N/A"
"The Club At Hokulia","3","1","N/A"
"Volcano Golf & Country Club","0","1","N/A"
"Waikoloa King's & Beach Golf Course","24","5","7.9"
"Waikoloa King's Course","1","0","N/A"
"Waikoloa Village Golf Club","4","2","N/A"
"Waikoloa Village Golf Club","0","0","N/A"
"Waimea Country Club","0","1","N/A"
