"Golf Course","Likes","Tips","Rating"
"Grand Hyatt Kauai Resort And Spa","176","89","8.8"
"Hōkūala Golf Course","1","1","N/A"
"Kauai Lagoons Golf Club","8","5","7.4"
"Kiahuna Golf Club","6","4","7.1"
"Kukuiolono Park And Golf Course","15","4","8.8"
"Poipu Bay Golf Course","19","9","8.3"
"Princeville Golf Course - Prince","4","2","N/A"
"Princeville Makai Golf Club","12","14","7.2"
"Puakea Golf Course","8","3","7.4"
"The Club At Kukui'ula","6","5","7.9"
"Wailua Golf Course","9","4","8.3"
