"Golf Course","Likes","Tips","Rating"
"Beyond the Rainbow","0","0","N/A"
"Ellair Maui Golf Club","1","3","N/A"
"Emerald Course At Wailea Golf Club","4","0","N/A"
"Gold Course At Wailea Golf Club","1","0","N/A"
"Ka'anapali Golf Course","20","8","8.5"
"Kahili Golf Course","9","3","7.2"
"Kapalua","36","21","8.8"
"King Kamehameha Golf Club","14","4","7.9"
"Makena Golf Club","1","1","N/A"
"Maui Country Club","0","0","N/A"
"Maui Country Club","7","3","7.6"
"Maui Nui Golf Club","6","0","N/A"
"Plantation Course at Kapalua","9","1","7.3"
"Pukalani Country Club","7","3","8.1"
"Royal Kannapali Golf Course","1","0","N/A"
"The Bay Course","7","2","N/A"
"The Dunes at Maui Lani","17","2","6.7"
"Waiehu Municipal Golf Course","3","1","N/A"
"Wailea Golf Club","38","11","8.3"
"Wailea Old Blue Course","3","1","N/A"
"Wialea Golf Club - Emerald Course","0","0","N/A"
