"Golf Course","Likes","Tips","Rating"
"Ala Wai Golf Course","9","7","7.5"
"Aloha Golf Center","1","3","N/A"
"Arnold Palmer Course at Turtle Bay Golf","6","4","7.0"
"Barbers Point Golf Course","3","1","N/A"
"Bay View Golf Park","7","3","6.9"
"Coral Creek","11","5","7.8"
"Ewa Beach Golf Club","8","6","6.5"
"Ewa Villages Golf Course","3","1","N/A"
"Fort Shafter Golf","0","0","N/A"
"Hawaii Country Club","5","3","6.9"
"Hawaii Kai Golf Course","3","4","N/A"
"Hawaii Prince Golf Club","11","3","7.8"
"Hoakalei Country Club","5","3","7.4"
"Honolulu Country Club","23","4","8.2"
"Kahuku golf course","2","3","N/A"
"Kaneohe Klipper Golf Course","12","4","7.6"
"Kapolei Golf Course","24","6","8.9"
"Ko Olina Golf Club","13","4","7.7"
"Ko Olina Golf Club","0","0","N/A"
"Ko Olina Resort","55","13","8.9"
"Ko'olau Golf Club","7","12","7.9"
"Leilehua Golf Course","14","4","7.9"
"Makaha Resort & Golf Club","0","5","N/A"
"Makaha Valley Country Club","2","0","N/A"
"Mamala Bay Golf Club","6","6","6.4"
"Mid Pacific Country Club","12","1","7.5"
"Mililani Golf Club","10","3","8.5"
"Moanalua Golf Club","1","2","N/A"
"Navy Marine Golf Course","12","5","6.7"
"Oahu Country Club","16","2","7.8"
"Olomana Golf Links","7","3","7.1"
"Pali Golf Course","2","2","N/A"
"Pearl Country Club","20","4","9.0"
"Royal Hawaiian Golf Club","8","7","7.3"
"Royal Kunia Country Club","16","6","7.9"
"Ted Makalena Golf Course","3","1","N/A"
"The Arnold Palmer Course","8","0","7.0"
"Turtle Bay Golf Course","5","4","7.5"
"Turtle Bay Palmer Course","2","0","N/A"
"Waialae Country Club","44","12","8.6"
"Waikele Country Club","26","6","7.9"
"West Loch Golf Course","2","0","N/A"
"Westloch Fairways","4","3","N/A"
